喻萄1,喻萄2,剪葬,唳雞憮,奢錳,cctv,陛煎蛔,埤跡鼻掏,奢奢羹幫衛撲,奢翕輿鷗,喻檣犒雖衛撲,喬雖,爾寰蛔,綠鼻晝熱衛撲,雖羲嬴翕撫攪,羶模喇奢睡寞,橫萼檜啾檜衛撲,轎籀,嬪я紫
"[127.01726139082461, 37.27629099123613]","[127.01727151577771, 37.276541792632045]",0.027902228,4.584277456,0,5,22,223,0,0,0,0,0,0,0,0,0,團辦1-1,0
"[127.01820083487397, 37.30082413434307]","[127.0179813874053, 37.30100123076535]",0.027650496,2.865285181,0,5,15,0,0,1,0,0,62,0,0,0,3,團辦1-2,0
"[127.00390550730614, 37.272327939513964]","[127.0038645563157, 37.27230982117553]",0.004145966,4.465370899,0,10,15,0,0,0,0,0,77,0,0,0,1,團辦1-3,0
"[127.01868195629037, 37.29864365856573]","[127.01860529315492, 37.29863423733125]",0.006861619,3.011963598,0,5,7,0,0,1,0,1,71,0,1,0,0,團辦1-4,0
"[127.01976540769762, 37.29818504330258]","[127.01987873905784, 37.29819221484697]",0.010056364,3.127605287,0,5,11,0,0,0,0,1,50,0,0,0,2,團辦1-5,0
"[127.00572997201957, 37.300223862838024]","[127.00579281490947, 37.30017677174369]",0.007636544,1.940621957,1,5,14,0,1,0,0,0,39,0,0,0,3,團辦1-6,0
"[127.00617872376044, 37.29659985220217]","[127.00714585274909, 37.296534670324476]",0.085855472,2.259546544,0,5,31,0,0,3,2,0,23,0,0,0,2,團辦1-7,0
"[127.04258402957095, 37.27606722187512]","[127.0425143911472, 37.276063742009256]",0.006173798,6.156276391,0,5,18,0,0,2,0,0,29,0,0,0,2,團辦1-8,0
"[127.04241274640108, 37.27721168606362]","[127.04232913528394, 37.27720862620705]",0.007405682,6.065540827,1,5,5,1,0,2,0,0,50,0,0,0,6,團辦1-9,0
"[127.04165908001814, 37.27906089645006]","[127.04133997078546, 37.27905202565692]",0.028251129,5.880458674,1,0,0,3,0,0,0,0,50,0,0,0,6,團辦1-10,0
"[127.01803038472433, 37.25543316119774]","[127.01809880314703, 37.25541504039994]",0.006381813,6.670493402,1,5,11,0,0,0,0,0,0,0,0,0,1,戮2-1,1
"[127.01218057514309, 37.260737718704675]","[127.012105771181, 37.26076190135697]",0.007145335,5.923480527,0,5,26,0,0,0,2,0,0,0,1,0,0,戮2-2,1
"[127.00560960510305, 37.266848268570776]","[127.00563070713345, 37.26681581278838]",0.00406341,5.09300275,0,5,4,36,0,0,1,0,80,1,0,0,0,戮2-3,1
"[127.00266498400359, 37.27873136181884]","[127.00268601618752, 37.27879835324885]",0.007678024,3.753423749,0,5,18,132,0,1,0,0,45,0,0,0,0,餉2-4,1
"[126.9998604831224, 37.280225774132056]","[126.99984700690312, 37.28022587403508]",0.001192372,3.519109028,1,5,4,0,0,0,0,0,48,1,0,0,4,戮2-5,1
"[127.00420023945117, 37.279969345900504]","[127.00432625637828, 37.27990989867816]",0.012961731,3.683739925,1,5,16,1,0,0,0,0,52,0,1,0,1,戮2-6,1
"[127.00605532287565, 37.29639907211296]","[127.00602424595857, 37.29619747480187]",0.022584524,2.240497411,0,5,31,0,0,3,2,0,24,0,0,0,1,團辦2-7,1
"[127.00405451857414, 37.279750849379646]","[127.00418247476372, 37.27969391629991]",0.012970926,3.70103181,1,5,17,1,0,0,0,0,51,0,1,0,3,戮2-8,1
"[127.00272260160965, 37.27832933453462]","[127.0026661774757, 37.27832948869654]",0.004992329,3.799459701,0,5,20,132,0,1,0,0,37,0,0,0,0,戮2-9,1
"[127.00529225253175, 37.27342678545621]","[127.00527782635211, 37.27351501653962]",0.009893542,4.385635203,0,10,26,0,0,0,0,0,85,0,0,0,0,戮2-10,1
"[127.01908595683909, 37.25646622310777]","[127.01905247237922, 37.25640184825851]",0.007747358,6.604173161,1,0,26,0,0,0,0,0,0,0,0,0,1,戮3-1,2
"[126.99924444631368, 37.272925093578316]","[126.99901836731078, 37.27290552149828]",0.020122512,4.286704662,0,5,13,0,0,3,0,0,0,0,0,0,0,戮3-2,2
"[127.00079025941956, 37.29568966572881]","[127.00073249315814, 37.29569358467793]",0.005128417,1.990855572,0,5,27,0,0,0,1,0,65,0,0,0,0,戮3-3,2
"[127.01987783062873, 37.30103818587182]","[127.0197841314823, 37.30102412624434]",0.008433983,3.004206355,0,5,18,0,0,1,0,0,55,0,0,0,1,戮3-4,2
"[126.97689062691336, 37.29049964328403]","[126.97689631490579, 37.290490894305805]",0.001095268,2.424469799,0,5,17,0,0,0,0,0,38,0,0,0,1,戮3-5,2
"[127.04130520343182, 37.25821945662823]","[127.04132340696444, 37.25835931741592]",0.015635033,7.475075923,1,5,24,0,0,1,0,0,43,0,1,0,1,戮3-6,2
"[127.00588643275826, 37.29862277613397]","[127.00583798756492, 37.29857032939458]",0.007236907,2.057136884,0,5,45,0,0,0,3,1,72,0,0,0,0,戮3-7,2
"[127.00432974887828, 37.29757572204407]","[127.004401454633, 37.297534774787216]",0.007807795,2.036913727,0,5,60,0,0,0,1,0,117,1,1,0,0,團辦3-8,2
"[127.00609357210048, 37.29777206835281]","[127.0061918787482, 37.297703379009654]",0.01157383,2.13808608,0,5,43,0,0,1,4,1,47,0,0,0,1,團辦3-9,2
"[127.00821370615155, 37.29652134227068]","[127.00828126364267, 37.2965443316535]",0.006499709,2.366476007,0,5,26,0,0,1,2,0,7,0,0,0,4,團辦3-10,2
"[127.01540596580026, 37.261518456490435]","[127.0153785510986, 37.26152601875018]",0.002567733,5.9545881,0,5,22,0,0,0,0,1,0,0,0,0,0,戮4-1,3
"[127.00223995862815, 37.28909019443116]","[127.00229378459554, 37.289104788928526]",0.005030679,2.687701794,1,10,18,0,0,0,0,1,44,0,0,0,1,戮4-2,3
"[127.00662603376587, 37.30167087189065]","[127.00658479802706, 37.301699688619145]",0.004854932,1.912521494,0,10,8,0,0,3,0,0,44,0,0,0,2,戮4-3,3
"[127.00698682887052, 37.29931689298252]","[127.0069347012834, 37.29935510922409]",0.006270398,2.082971934,0,10,20,0,0,0,3,0,24,0,0,0,0,戮4-4,3
"[127.0370561177608, 37.255930247465976]","[127.03709695807338, 37.25593351515596]",0.003632765,7.455794142,1,5,20,0,0,0,0,0,18,1,0,0,1,戮4-5,3
"[127.07912129433333, 37.2497272348429]","[127.07930585879652, 37.24990555453365]",0.025690997,10.51559204,1,5,44,0,1,0,0,1,0,0,0,0,0,戮4-6,3
"[127.07835590304934, 37.25383782891815]","[127.07841736812013, 37.253803574728764]",0.006640946,10.17813687,0,10,54,0,0,0,0,1,0,0,0,0,4,戮4-7,3
"[127.00603219279836, 37.296640679375265]","[127.00609189694207, 37.29662086092356]",0.005722558,2.216135115,0,5,29,0,0,3,1,0,28,0,0,0,1,團辦4-8,3
"[127.0134541798064, 37.29667602557605]","[127.01329587917644, 37.296894906201864]",0.02807907,2.710207367,0,0,24,0,0,2,1,0,48,0,0,0,1,團辦4-9,3
"[126.99911063891903, 37.28989028818107]","[126.99912517518835, 37.289872475140584]",0.002361547,2.48831622,0,5,21,18,0,4,0,0,12,0,0,0,2,戮5-1,4
"[127.01307481743483, 37.2604377560782]","[127.01295752932195, 37.260475999362235]",0.0112172,5.982028823,0,5,18,0,0,0,2,0,0,0,1,0,1,戮5-2,4
"[127.01013405451586, 37.262566559045084]","[127.01026754705363, 37.26251536768279]",0.013113486,5.676411357,0,5,37,0,0,2,0,0,0,0,0,0,0,戮5-3,4
"[127.00434384009442, 37.288250727039966]","[127.00427778807797, 37.28821882425789]",0.006835892,2.859637667,0,5,21,0,0,1,0,0,38,0,3,0,0,戮5-4,4
"[127.00256389038387, 37.294127485384884]","[127.00255381854781, 37.294141360500824]",0.001781616,2.22389696,0,5,1,0,0,0,0,0,102,1,0,0,0,戮5-5,4
"[127.02033887700217, 37.30000237488137]","[127.02034918627216, 37.300004381690336]",0.000938788,3.087887792,0,5,13,0,0,1,0,0,73,0,0,0,1,戮5-6,4
"[127.00855401489548, 37.291473700538965]","[127.00849128560101, 37.29144401690412]",0.006456628,2.784007425,1,5,14,0,3,0,5,0,40,0,0,0,2,戮5-7,4
"[127.0083350270038, 37.29372719495465]","[127.00831510028125, 37.293753849185684]",0.003448387,2.584801942,0,5,3,0,0,2,0,0,95,0,0,0,2,戮5-8,4
"[127.01501035026996, 37.29760557375277]","[127.01509833054678, 37.297646704065514]",0.009026706,2.785550895,1,5,15,0,0,0,1,0,43,1,0,0,3,團辦5-9,4
"[127.00436274605926, 37.29693103747017]","[127.00434396580874, 37.29691055679139]",0.002818865,2.086365373,0,5,51,0,0,0,1,0,83,1,1,0,0,戮5-10,4
"[127.01564074909042, 37.25479249969529]","[127.01556135301105, 37.25481817112117]",0.007584669,6.650527364,0,5,8,0,0,2,0,0,0,0,1,0,2,戮6-1,5
"[127.00581211225526, 37.263672771004224]","[127.00581011678408, 37.263662995172126]",0.001101273,5.433889257,0,5,21,0,0,1,1,0,0,0,0,0,7,戮6-2,5
"[127.00392828439566, 37.303361777319665]","[127.00390255477865, 37.30333809998265]",0.00348004,1.613972463,1,5,6,0,0,1,1,1,56,0,0,0,2,戮6-3,5
"[127.01908263365534, 37.29922223213111]","[127.01907207307035, 37.29929232448069]",0.007849692,3.017574261,0,0,13,0,0,1,0,0,71,0,1,0,0,團辦6-4,5
"[126.99194805425238, 37.2986938214847]","[126.99227754884441, 37.298819439490906]",0.032319446,1.348680251,0,5,17,0,0,1,4,1,14,1,0,0,4,戮6-5,5
"[127.03166424390183, 37.24331819162663]","[127.03138667984297, 37.24340972296648]",0.026594366,8.393926816,1,5,32,0,0,0,1,4,0,1,0,0,1,戮6-6,5
"[127.0148984178789, 37.298048753403656]","[127.01493558575518, 37.298013032265075]",0.005156133,2.75228778,0,5,12,0,0,0,1,0,50,0,0,0,0,團辦6-7,5
"[127.0151868365272, 37.297771541244735]","[127.01524160587253, 37.2977189045313]",0.007597852,2.790995055,1,5,11,0,0,0,1,0,49,1,0,0,3,團辦6-8,5
"[127.00400865399754, 37.30683508773516]","[127.00402845067484, 37.30685442433283]",0.002772859,1.472906216,0,5,18,0,0,4,0,0,20,0,0,0,3,團辦6-9,5
"[127.01204690651336, 37.28879931455679]","[127.01200807603776, 37.28878098244705]",0.003994448,3.211446569,0,5,16,0,0,1,1,0,33,0,0,0,0,團辦6-1,5
"[127.01978379299469, 37.25329164146092]","[127.01971043029224, 37.25331628011271]",0.00704747543,6.946199468,0,5,31,1,0,1,2,10,0,0,0,0,6,戮7-1,6
"[127.02158523858458, 37.2590644918007]","[127.02140937622116, 37.25912623691301]",0.0170110177,6.43243418,1,5,22,0,0,0,3,0,0,0,0,0,2,戮7-2,6
"[127.01968590000779, 37.25858637821319]","[127.01970366146043, 37.258618363255074]",0.00388846067,6.409759627,2,5,9,0,0,0,1,0,0,0,0,0,3,戮7-3,6
"[127.00179709558913, 37.2913906875077]","[127.00175503245264, 37.291441875222354]",0.00680020081,2.441103854,0,5,18,25,0,3,0,0,54,0,0,0,0,戮7-4,6
"[127.01527620289751, 37.303093122803105]","[127.01547942490795, 37.30337586049776]",0.0362146657,2.551348634,2,5,17,0,1,1,1,0,46,1,0,0,7,戮7-5,6
"[127.01705305972564, 37.3005477146425]","[127.01655374530067, 37.30095101606391]",0.0629416216,2.766791808,0,5,12,21,0,0,2,0,60,0,0,0,4,戮7-6,6
"[127.01859334344522, 37.29929541874903]","[127.01816035404053, 37.29964798185023]",0.0548063005,2.951294666,0,5,7,0,0,1,0,0,79,0,1,0,0,戮7-7,6
"[126.99502769446474, 37.29801573584706]","[126.99495305408364, 37.2981414007738]",0.0154545662,1.506957837,1,5,12,0,0,1,0,0,0,0,0,0,2,戮7-8,6
"[126.99380538286914, 37.30171646944365]","[126.99377794135354, 37.30170734901102]",0.00263056682,1.097265937,0,0,13,0,0,1,2,1,16,0,0,0,5,戮7-9,6
"[126.97092355150086, 37.28159047811984]","[126.97099586827092, 37.281614444778306]",0.00693099357,3.542056582,1,5,46,0,0,0,0,0,0,1,0,0,1,戮7-10,6
"[126.99397075688687, 37.295520353975796]","[126.99374430162578, 37.29590768026358]",0.0474993005,1.717086206,0,10,43,0,0,0,0,4,0,0,0,0,0,戮8-1,7
"[126.99498385865958, 37.29640218279051]","[126.99458761058631, 37.29598976111043]",0.0577203192,1.693464048,0,5,45,0,1,0,1,2,0,0,0,0,0,戮8-2,7
"[127.04370543047449, 37.259791634238624]","[127.04365983031065, 37.25965314292885]",0.0159195391,7.488315229,0,5,28,0,0,0,1,2,0,0,0,0,0,戮8-3,7
"[127.02642742548181, 37.260113820732]","[127.02640260206815, 37.26004747250961]",0.00769772486,6.55028032,0,5,13,20,4,0,2,0,0,0,0,0,0,戮8-4,7
"[127.02455968223313, 37.256541073733494]","[127.02447890828073, 37.256346239021525]",0.0228136284,6.818109169,0,5,9,63,0,1,4,0,0,0,0,0,1,戮8-5,7
"[127.03181943861973, 37.2398552519287]","[127.03180573325082, 37.2398286749996]",0.00319457134,8.754987072,0,5,17,0,0,0,1,3,0,0,0,0,1,戮8-6,7
"[127.01320136414934, 37.28907862078271]","[127.01309034306455, 37.2892295219593]",0.0194425323,3.248186415,0,5,23,4,0,1,1,0,22,0,0,0,0,團辦8-1,7
"[127.0038484805803, 37.30644913460383]","[127.00395599598887, 37.30635660361164]",0.0140102858,1.477168508,0,5,21,0,0,3,1,1,17,0,0,0,2,團辦8-2,7
"[127.0045237980828, 37.305885568208794]","[127.0045427320553, 37.305792498113576]",0.0104835385,1.549965581,0,5,21,0,0,3,1,1,6,0,0,0,1,團辦8-3,7
"[126.99198445850945, 37.30648362473522]","[126.99209471858231, 37.30639152918258]",0.0141410642,0.570824565,0,5,22,50,0,0,1,0,53,0,1,0,1,團辦8-4,7
"[127.0013113681127, 37.2674472987848]","[127.00169742080375, 37.26759463271102]",0.0378872731,4.91918479,0,5,24,26,0,0,0,0,24,0,0,0,0,戮9-1,8
"[127.02552775135531, 37.25487550560782]","[127.02543676906998, 37.25489747396338]",0.00841480874,7.010973341,1,5,17,63,0,3,3,0,0,0,0,0,4,戮9-2,8
"[127.05477119333398, 37.271916343329096]","[127.05479608577241, 37.27197814278539]",0.00721616157,7.29587762,1,5,19,0,0,0,0,2,5,0,0,0,2,戮9-3,8
"[127.01301845457748, 37.28932633657576]","[127.01289279684157, 37.289494222624874]",0.0217271643,3.215911561,0,5,21,5,0,1,1,0,27,0,0,0,0,團辦9-1,8
"[127.00429186518251, 37.30614019071501]","[127.00433212124042, 37.30611741181129]",0.00436949365,1.521055622,0,5,19,0,0,3,1,1,12,0,0,0,2,團辦9-2,8
"[127.00447764726451, 37.30598333234238]","[127.00451587048487, 37.30590885030189]",0.00894544086,1.543026246,0,5,19,0,0,3,1,1,8,0,0,0,1,團辦9-3,8
"[126.99232945018949, 37.306195460760215]","[126.99238243256528, 37.306171217181664]",0.00540612152,0.610408312,0,10,25,44,0,0,1,0,45,0,0,0,1,團辦9-4,8
"[126.99354142978619, 37.30589100925437]","[126.9935187485321, 37.30586408511036]",0.00360378716,0.704924938,0,0,22,11,0,2,0,1,30,0,0,0,1,團辦9-5,8
"[126.99338278636635, 37.3056812138756]","[126.99317270359278, 37.30539478922607]",0.0368728953,0.717785005,0,5,25,6,0,3,0,1,18,0,0,0,2,團辦9-6,8
"[127.00415833838852, 37.3062140985439]","[127.00429186518251, 37.30614019071501]",0.0143878544,1.512071489,0,5,18,0,0,3,1,1,14,0,0,0,2,戮10-1,9
"[126.99288479535343, 37.30603028116041]","[126.99289717099717, 37.30602705674772]",0.00115179594,0.654182096,0,10,25,40,0,1,1,1,38,0,0,0,1,戮10-2,9
"[127.01320540647656, 37.28994629388496]","[127.0129842047923, 37.28984103181367]",0.0228018399,3.185620252,0,5,30,18,0,1,1,0,31,0,0,0,0,團辦10-1,9
"[127.00441306257582, 37.30605733621346]","[127.00446043427651, 37.30600775096101]",0.00692492936,1.534912347,0,5,18,0,0,3,1,1,11,0,0,0,2,團辦10-2,9
"[126.9929273099174, 37.306019183375774]","[126.99306615768288, 37.30598292411418]",0.0129253888,0.662700047,0,10,24,36,0,2,1,1,36,0,0,0,1,團辦10-3,9
"[126.99244933788445, 37.306143883846644]","[126.99265412928283, 37.30609045701951]",0.0190622338,0.627126083,0,10,25,44,0,0,1,1,41,0,0,0,1,團辦10-4,9
"[127.04377353054616, 37.27457652140806]","[127.04384735479933, 37.27475981219613]",0.0214022041,6.340450049,0,10,19,0,0,0,0,0,28,0,0,0,0,團辦10-5,9
"[127.0134541798064, 37.29667602557605]","[127.01329587917644, 37.296894906201864]",0.0280790696,2.710207367,0,0,24,0,0,2,1,0,48,0,0,0,1,團辦4-10,3
